	CL2001032010AA	Call	p-value	CL2001032041AA	Call	p-value
41626_at	82.8	A	0.27	28.6	A	0.32
41627_at	392.77	P	0	570.48	P	0.01
41628_at	11.94	A	0.87	25.75	A	0.84
41629_at	18.21	A	0.64	7.96	A	0.86
41630_at	187.51	A	0.28	43.12	A	0.68
41631_f_at	25.03	A	0.48	8.98	A	0.96
41632_at	135.17	P	0.01	130.21	P	0.04
41633_at	853.03	P	0.01	1127.45	P	0.02
41634_at	569.02	P	0	869.89	P	0
41635_at	161.31	P	0.01	325.52	P	0
41636_at	18.86	A	0.56	85.32	A	0.36
41637_at	402.06	P	0.01	599.01	P	0
41638_at	416.28	P	0	365.22	P	0
41639_at	180.59	A	0.5	126.49	A	0.48
41640_at	345.61	A	0.09	220.17	A	0.16
41641_at	204.06	A	0.22	560.05	A	0.15
41642_at	216.83	P	0.02	359.65	P	0.01
41643_at	271.52	P	0	64.64	A	0.5
41644_at	1742.67	P	0.02	2210.71	P	0.01
41645_at	67.25	A	0.9	37.18	A	0.99
41646_at	36.87	A	0.6	220.87	P	0.03
41647_at	485.55	A	0.09	575.71	M	0.04
41648_at	680.96	A	0.2	1377.19	P	0.04
41649_at	475.74	M	0.05	1067.95	P	0.02
41650_at	402.83	P	0.02	528.52	P	0.03
41651_at	723.44	P	0	565.43	P	0
41652_at	411.71	A	0.42	254.44	A	0.4
41653_at	60.91	A	0.54	96.77	A	0.44
41654_at	585.6	P	0.04	479.28	A	0.14
41655_at	214.77	A	0.36	256.98	A	0.23
41656_at	318.43	P	0.01	287.32	P	0.03
41657_at	1006.35	A	0.28	862.8	A	0.19
41658_at	232.84	A	0.32	221.29	A	0.32
41659_at	259.82	A	0.28	215.14	A	0.1
41660_at	69.36	A	0.5	170.91	A	0.18
41661_at	115.76	A	0.78	96.78	A	0.48
41662_at	93.35	A	0.18	235.58	P	0.01
41663_at	420.21	P	0.02	602.23	P	0.04
41664_at	484.91	A	0.28	329.62	A	0.25
41665_at	231.74	P	0	423.97	P	0
41666_at	13.9	A	0.96	42.13	A	0.62
41667_s_at	136.44	P	0	198.73	P	0.01
41668_r_at	2.19	A	1	1.8	A	0.98
41669_at	301.17	P	0	376.78	P	0
41670_at	258.2	A	0.07	52.73	A	0.36
41671_at	261.75	P	0.02	109.64	P	0.04
41672_at	231.2	A	0.13	91.28	A	0.52
41673_at	11.5	A	0.92	5.82	A	0.99
41674_at	27.27	A	0.87	76.66	A	0.75
41675_at	25.52	A	0.92	18.56	A	0.95
41676_at	168.45	A	0.3	171.08	A	0.23
41677_at	490.59	A	0.2	293.92	A	0.12
41678_at	311.96	P	0.02	301.89	P	0.02
41679_at	99.04	A	0.85	25.8	A	0.86
41680_at	22.8	A	0.89	24.01	A	0.56
41681_at	205.11	P	0.01	107.03	P	0.01
41682_s_at	10.72	A	0.72	24.77	A	0.6
41683_i_at	61.22	A	0.24	28.88	A	0.7
41684_at	9.5	A	0.85	2.54	A	0.95
41685_at	120.96	A	0.48	61.7	A	0.5
41686_s_at	258.85	M	0.04	278.15	A	0.06
41687_r_at	17.29	A	0.89	6.73	A	0.96
41688_at	461.66	P	0.02	327.82	P	0.03
41689_at	498.52	P	0.02	313.88	P	0.04
41690_at	792.64	P	0	1493.27	P	0
41691_at	250.69	P	0.02	244.52	P	0
41692_at	50.88	A	0.23	58.17	P	0.01
41693_r_at	40.6	A	0.42	44.84	A	0.54
41694_at	1133.42	A	0.07	1223.58	P	0.03
41695_at	163.79	A	0.28	97.76	A	0.07
41696_at	1028.01	P	0	657.35	P	0
41697_at	87.29	A	0.44	142.54	A	0.19
41698_at	446.52	M	0.05	209.26	A	0.16
41699_f_at	387.27	P	0.02	296.42	P	0.02
417_at	60.63	A	0.64	26.31	A	0.72
41700_at	349.97	P	0	153.47	P	0
41701_at	189.79	A	0.27	349.26	A	0.09
41702_r_at	147.02	A	0.07	96.11	A	0.07
41703_r_at	97.41	A	0.46	121.26	A	0.46
41704_at	82.1	A	0.72	71.3	A	0.82
41705_at	280.62	A	0.14	258.73	A	0.13
41706_at	52.21	A	0.5	34.85	A	0.62
41707_at	124.08	A	0.3	54.85	A	0.5
41708_at	71.71	A	0.52	93.72	A	0.54
41709_at	344.27	P	0.02	349.02	A	0.06
41710_at	411.88	P	0.01	552.03	P	0
41711_at	106.89	A	0.75	69.78	A	0.64
41712_at	109.06	A	0.07	104.83	A	0.38
41713_at	183.02	P	0	285.95	P	0
41714_at	172.01	P	0.04	154.81	P	0.02
41715_at	358.07	P	0	497.19	P	0
41716_at	232.69	P	0	239.93	P	0
41717_at	453.62	A	0.11	299.27	A	0.13
41718_g_at	754.06	P	0	737.63	P	0.01
41719_i_at	185.26	A	0.08	101.67	A	0.18
41720_r_at	305.23	P	0.01	259.63	P	0.01
41721_at	31.66	A	0.75	51.84	A	0.6
41722_at	73.59	A	0.1	108.91	P	0.01
41723_s_at	13682.4	P	0	11355.2	P	0
41724_at	3302.36	P	0	4415.35	P	0
41725_at	550.08	A	0.23	607.7	A	0.22
41726_at	1040.08	P	0.01	1090.86	P	0.01
41727_at	240.62	A	0.13	250.42	A	0.07
41728_at	1141.84	P	0	1365.69	P	0
41729_at	334.2	A	0.09	220.02	M	0.05
41730_at	187.38	A	0.15	12.4	A	0.77
41731_g_at	106.59	A	0.7	49.3	A	0.77
41732_at	463.1	P	0.01	264.64	A	0.13
41733_at	178.29	P	0.02	266.68	P	0.01
41734_at	813.6	P	0	675.89	P	0
41735_at	398.15	P	0.01	231.77	P	0.02
41736_g_at	446.75	A	0.11	290.21	A	0.34
41737_at	815.4	P	0	1187.25	P	0
41738_at	623.59	P	0	830.88	P	0
41739_s_at	343.17	P	0	358.87	P	0.01
41740_at	77.35	A	0.66	15.97	A	0.91
41741_at	9254.56	P	0	11157.92	P	0
41742_s_at	501.1	P	0	365.36	P	0
41743_i_at	225.72	P	0.03	187.23	M	0.04
41744_at	290.28	A	0.08	244.29	P	0.01
41745_at	43346.87	P	0	29605.47	P	0
41746_at	655.62	A	0.07	477.21	A	0.11
41747_s_at	575.98	P	0	479.03	P	0
41748_at	148.62	A	0.36	45.35	A	0.66
41749_at	626.95	P	0	1254.53	P	0
41750_at	582.69	P	0	378.58	P	0
41751_at	10.59	A	0.99	3.86	A	0.96
41752_at	381.01	P	0	496.26	P	0.01
41753_at	7226.36	P	0	6231.65	P	0
41754_at	242.5	P	0.01	308.75	P	0
41755_at	349.6	P	0.01	178.84	A	0.07
41756_at	147.67	P	0	173.69	P	0.01
41757_at	360.21	A	0.13	394.61	P	0.03
41758_at	1623.58	P	0	1721.57	P	0
41759_at	1246.86	P	0.01	1175.97	P	0
41760_at	3692.53	P	0	3523.69	P	0
41761_at	4.1	A	0.82	4.63	A	0.93
41762_at	154.11	M	0.04	271.87	P	0.02
41763_g_at	755.25	P	0	640.64	P	0
41764_at	9128.08	P	0	3457.06	P	0
41765_at	3358.39	P	0	3364.85	P	0
41766_at	382.08	M	0.05	283.92	A	0.08
41767_r_at	336.4	P	0	350.58	P	0
41768_at	3118.6	P	0	4448.11	P	0
41769_at	25.3	A	0.86	23.55	A	0.77
41770_at	507.26	P	0	440.49	P	0
41771_g_at	2145.12	P	0	2444.57	P	0
41772_at	884.33	P	0	589.96	P	0
41773_at	1358.28	P	0.01	1561.67	P	0.01
41774_at	8.15	A	0.91	20.33	A	0.68
41775_at	61.85	A	0.78	226.31	A	0.38
41776_at	1172.41	P	0	1054.26	P	0
41777_at	71.1	A	0.13	5.94	A	0.78
41778_at	717.6	P	0.03	1603.89	P	0.01
41779_at	710.44	P	0.04	1003.83	P	0.04
41780_at	180.09	P	0.01	170.05	P	0.01
41781_at	149.24	A	0.23	93.98	A	0.27
41782_g_at	643.82	A	0.19	567.26	A	0.25
41783_at	72.67	A	0.68	409.95	A	0.3
41784_at	259.57	P	0	176.79	P	0
41785_at	7601.62	P	0	8174.91	P	0
41786_at	30.66	A	1	31.63	A	1
41787_at	108.74	A	0.18	146.41	A	0.08
41788_i_at	166.54	P	0	106.62	A	0.14
41789_r_at	107.23	P	0.04	78.56	M	0.05
41790_at	54.49	A	0.72	236.83	M	0.05
41791_at	80.33	A	0.22	142.74	P	0.01
41792_at	655.87	P	0.02	595.22	P	0.01
41793_at	569.68	M	0.05	561.28	A	0.07
41794_at	7.65	A	0.95	9.57	A	0.92
41795_at	383.73	P	0.01	302.22	P	0.03
41796_at	310.96	P	0.02	191.59	A	0.08
41797_at	75.16	A	0.81	52.19	A	0.75
41798_at	438.21	A	0.3	163.97	A	0.42
41799_at	440.33	P	0.04	377.02	P	0.03
418_at	159.04	P	0.01	84.94	A	0.12
41800_s_at	611.55	P	0	411.75	P	0.01
41801_at	72.32	A	0.6	10.04	A	0.98
41802_at	61.76	A	0.27	59.26	A	0.19
41803_g_at	141.4	A	0.66	136.16	A	0.56
41804_at	667.89	M	0.05	724.79	P	0.03
41805_g_at	89.68	A	0.75	34.56	A	0.91
41806_at	206.68	A	0.72	30.45	A	0.88
41807_at	352.09	P	0.02	182.3	P	0.01
41808_at	261.65	P	0.01	73.28	A	0.11
41809_at	475.66	P	0	152.57	P	0.02
41810_at	45.78	A	0.7	82.67	A	0.56
41811_f_at	17.29	A	0.93	13.83	A	0.78
41812_s_at	414.56	A	0.28	558.03	A	0.12
41813_at	127.78	A	0.54	40.76	A	0.75
41814_at	1776.78	P	0	1203.11	P	0
41815_at	234.82	P	0.04	178.49	A	0.08
41816_at	394.39	A	0.16	505.03	A	0.06
41817_g_at	1388.87	A	0.08	1756.4	P	0.03
41818_at	25.14	A	0.9	13.18	A	0.89
41819_at	181.85	P	0	94.79	A	0.14
41820_s_at	156.69	A	0.09	101.67	A	0.25
41821_at	184.03	A	0.25	279.7	P	0.03
41822_at	275.29	A	0.46	299.95	A	0.34
41823_at	607.57	P	0	824.84	P	0
41824_at	367.72	P	0	296.1	P	0
41825_at	748.74	P	0.04	598.36	P	0.03
41826_at	97.62	A	0.27	135.59	A	0.07
41827_f_at	7987.04	P	0	7654.8	P	0
41828_at	129.01	A	0.32	83.01	A	0.09
41829_at	1524.72	P	0.01	2327.51	P	0
41830_at	1209.46	P	0	1798.31	P	0
41831_at	304.74	A	0.16	280.13	A	0.08
41832_s_at	183.35	A	0.15	100.09	A	0.42
41833_at	4420.51	P	0	3849.88	P	0
41834_g_at	1908.47	P	0	1920.44	P	0
41835_at	93.89	A	0.56	50.33	A	0.25
41836_at	416.93	A	0.36	546.3	A	0.16
41837_at	600.2	A	0.15	715.12	A	0.1
41838_at	517.61	P	0.01	569.76	P	0
41839_at	389.35	A	0.07	535.05	P	0.02
41840_r_at	147	A	0.19	133.71	A	0.23
41841_at	512.07	P	0.01	443.35	P	0.02
41842_at	209.3	A	0.5	45.72	A	0.66
41843_r_at	30.48	A	0.42	46.5	A	0.38
41844_at	141.39	A	0.5	17.8	A	0.84
41845_at	213.91	A	0.38	206.21	A	0.4
41846_at	21.35	A	0.99	35.7	A	0.97
41847_at	88.18	A	0.3	55.09	A	0.36
41848_f_at	19.64	A	0.97	11.74	A	0.99
41849_r_at	19.78	A	0.73	3.64	A	0.88
41850_s_at	557.66	P	0.02	582.57	A	0.07
41851_at	73.42	A	0.81	37.64	A	0.84
41852_at	205.2	P	0.03	232.4	M	0.04
41853_at	141.47	P	0	49.15	A	0.27
41854_at	76.63	A	0.34	87.81	A	0.16
41855_at	135.94	P	0	130.71	M	0.04
41856_at	993.9	P	0.01	981.73	P	0.01
41857_r_at	25.09	A	0.56	22.23	A	0.72
41858_at	234.06	A	0.18	452.9	A	0.06
41859_at	141.06	A	0.16	179.87	A	0.07
41860_at	172.83	A	0.2	94.9	A	0.34
41861_at	73.91	A	0.88	57.6	A	0.92
41862_at	173.57	A	0.3	125.96	A	0.38
41863_at	121.84	A	0.22	111.32	A	0.3
41864_at	367.43	P	0.01	498.41	P	0.01
41865_at	46.63	A	0.7	36.35	A	0.84
41866_s_at	119.03	A	0.66	408.42	A	0.48
41867_at	1600.7	A	0.3	2322.31	A	0.25
41868_at	640.47	P	0.01	510.5	A	0.09
41869_at	781.25	A	0.08	663.06	A	0.07
41870_at	672.49	A	0.44	584.44	A	0.27
41871_at	416.67	P	0.01	392.25	P	0
41872_at	75.7	A	0.28	110.16	A	0.06
41873_at	35.62	A	0.85	48.01	A	0.66
419_at	220.82	A	0.23	206.48	A	0.3
420_at	1155.19	P	0	1058.55	P	0.04
421_at	748.68	P	0.01	1004.7	P	0.01
422_s_at	400.74	M	0.05	155.05	A	0.36
423_at	616.99	A	0.12	389.03	A	0.23
424_s_at	1921.68	A	0.08	1875.11	M	0.04
425_at	8336.19	P	0	3516.39	P	0.01
427_f_at	121.62	A	0.08	121.75	A	0.25
428_s_at	37785.06	P	0	19907.76	P	0
429_f_at	2453.7	P	0.02	1346.22	M	0.05
430_at	611.63	P	0	844.22	P	0
431_at	273.52	P	0.01	14.29	A	0.82
432_s_at	219.21	M	0.05	54.63	A	0.27
433_at	57.06	A	0.75	21.74	A	0.72
434_at	139.75	A	0.18	37.71	A	0.52
435_g_at	301.96	A	0.11	186.25	A	0.42
436_at	33.87	A	0.48	22.7	A	0.73
437_at	59.09	A	0.7	15.27	A	0.64
438_at	684.26	P	0.04	529.02	P	0.03
440_at	830.25	P	0.01	1360.96	P	0
441_s_at	145.71	A	0.3	405.18	A	0.14
442_at	1735.49	P	0	1050.83	P	0
443_at	56.99	A	0.6	87.86	A	0.42
444_g_at	212.48	A	0.27	306.39	A	0.22
445_at	66.01	A	0.85	24.49	A	0.95
446_at	928.42	P	0.01	1011.33	P	0
447_g_at	561.56	P	0.04	891.89	P	0
448_s_at	518.69	P	0.01	432.66	P	0.01
449_at	142.91	P	0.04	139.81	P	0.02
450_g_at	186.4	P	0	100.27	A	0.2
451_at	161.73	A	0.6	63.59	A	0.58
452_at	425.83	P	0	257.85	P	0.01
453_at	437.82	P	0	509.96	P	0
454_at	398.94	A	0.28	317.79	A	0.32
455_at	333.93	A	0.09	287.53	A	0.06
456_at	349.72	A	0.56	531.1	A	0.3
457_s_at	1020.99	P	0	992.85	P	0
458_at	29.74	A	0.85	14.45	A	0.89
459_s_at	902.86	A	0.18	1235.73	A	0.08
460_at	51.24	A	0.52	12.89	A	0.78
461_at	1901.95	P	0	551.64	P	0.01
462_at	235.03	P	0.01	219.04	A	0.15
463_g_at	1015.66	P	0.01	558.67	P	0.01
464_s_at	1208.72	P	0	729.71	P	0.01
465_at	63.62	A	0.75	64.53	A	0.73
466_at	944.99	P	0	779.62	P	0
467_at	335.8	A	0.12	271.71	A	0.12
468_at	37.28	A	0.82	9.31	A	0.99
469_at	317.69	A	0.23	347.12	A	0.28
470_at	32.55	A	0.93	33.7	A	0.86
471_f_at	2654.9	P	0	1598.35	P	0
472_at	38.57	A	0.81	101.25	A	0.23
473_g_at	34.36	A	0.56	113.59	A	0.18
474_at	12.15	A	0.94	8.95	A	0.85
475_at	330.86	A	0.11	333.79	M	0.04
476_s_at	208.09	A	0.08	276.67	A	0.07
477_at	924.45	A	0.16	1105.5	A	0.2
478_g_at	610.1	P	0	513.91	P	0.01
479_at	1172.07	P	0	1783.95	P	0
480_at	604.1	A	0.25	739.67	A	0.23
481_at	195.4	P	0.01	318.39	P	0
482_at	148.68	A	0.2	106.82	A	0.36
483_g_at	151.15	P	0.03	153.71	P	0.02
484_at	1019.47	M	0.05	873.22	P	0.02
485_at	289.14	A	0.16	293.45	A	0.3
486_at	140.56	A	0.6	46.13	A	0.86
487_g_at	265.44	A	0.08	283.65	P	0.01
488_at	28.98	A	0.58	64.1	A	0.48
489_at	391.14	A	0.23	474.14	A	0.27
490_g_at	316.76	A	0.15	616.73	M	0.05
491_at	174.87	P	0.01	149.29	P	0.01
492_g_at	103.25	M	0.05	41.45	A	0.18
493_at	1927.57	P	0	1490.14	P	0
494_at	320.58	A	0.22	327.34	A	0.23
495_at	665.25	P	0.01	591.59	P	0.01
496_s_at	263.86	P	0.03	332.25	P	0.02
497_at	1410.19	P	0.01	1602.8	P	0.02
498_at	1454.79	P	0	1576.08	P	0
499_at	89.05	A	0.84	66.51	A	0.85
500_at	106.29	A	0.25	30.32	A	0.4
501_g_at	194.99	A	0.32	32.73	A	0.77
502_s_at	12.78	A	0.87	15.49	A	0.89
503_at	4885.43	P	0	3236.42	P	0
504_at	577.21	P	0	331.72	P	0
505_at	2169.44	P	0	2354.11	P	0
506_s_at	742.58	A	0.11	754.67	A	0.06
507_s_at	600.46	P	0.04	386.94	M	0.04
508_at	715.82	A	0.1	404.2	A	0.11
509_at	150.38	P	0.02	93.94	A	0.14
510_g_at	162.88	P	0.02	179.64	P	0.01
511_s_at	48.9	A	0.78	10.1	A	0.97
512_at	280.15	P	0.02	314.08	A	0.06
513_at	82.19	A	0.66	416.67	A	0.46
514_at	243.59	A	0.34	597.33	P	0.01
515_s_at	95.29	A	0.32	30.65	A	0.73
517_at	777.3	A	0.34	506.61	A	0.34
518_at	610.51	P	0.04	459.97	M	0.05
519_g_at	1399.8	A	0.11	1927.03	P	0.01
520_at	525.92	M	0.05	514.37	A	0.07
521_at	17.34	A	0.92	28.19	A	0.93
522_s_at	20.92	A	0.92	21.98	A	0.81
523_s_at	23.47	A	0.85	31.23	A	0.77
524_at	175.97	M	0.05	163.37	A	0.09
525_g_at	121.61	P	0.02	153.94	P	0.01
526_s_at	216.93	A	0.13	381.53	A	0.07
527_at	166.57	P	0.01	166.92	A	0.07
528_at	165.87	A	0.12	276.06	A	0.13
529_at	349.71	M	0.04	566.99	P	0
530_at	39.77	A	0.87	38.48	A	0.87
531_at	136.58	M	0.05	61.48	A	0.27
532_at	107.19	A	0.42	147.67	P	0.03
533_g_at	366.3	A	0.28	639.82	A	0.13
534_s_at	4734.36	P	0.01	4885.13	P	0
535_s_at	229.51	A	0.48	41.29	A	0.86
537_f_at	485.89	A	0.2	225.15	A	0.46
538_at	2110	P	0	2797.2	P	0
539_at	220.63	M	0.05	190.5	P	0.04
540_at	1190.1	A	0.09	1131.16	A	0.1
541_g_at	759.56	P	0.01	978.03	P	0.01
542_at	110.53	A	0.42	30.06	A	0.62
543_g_at	166.68	A	0.44	101.12	A	0.46
544_at	585.9	A	0.1	516.41	A	0.1
545_g_at	562.88	A	0.25	182.42	A	0.4
546_at	63.68	A	0.32	154.92	A	0.18
547_s_at	110.8	A	0.66	478.5	P	0.01
548_s_at	625.71	P	0.03	434.86	P	0.01
549_at	386.5	P	0.01	381.2	P	0.01
550_at	38.42	A	0.81	35.49	A	0.93
551_at	375.64	P	0.02	275.49	P	0.02
552_at	1045.91	A	0.1	1496.66	P	0.03
553_g_at	1293.15	P	0	2986.74	P	0
554_at	389.5	A	0.07	405.77	P	0.01
555_at	152.1	A	0.08	63.9	A	0.48
556_s_at	2376.87	A	0.13	2828.38	M	0.04
557_s_at	126.39	A	0.84	114.46	A	0.5
558_at	249.81	A	0.07	331.39	A	0.07
559_s_at	222.62	A	0.56	483.55	A	0.54
560_s_at	561.17	P	0.01	372.91	P	0.04
561_at	94.58	A	0.08	116	A	0.06
562_g_at	269.01	A	0.6	203.8	A	0.52
563_at	13.47	A	0.91	6.21	A	0.99
564_at	939.34	P	0	1224.01	P	0
565_at	51.74	A	0.72	19.97	A	0.92
566_at	587.15	A	0.28	80.87	A	0.38
567_s_at	1664.15	P	0.01	1424.17	P	0.01
568_at	203.38	A	0.64	193.4	A	0.5
569_g_at	84.7	A	0.7	49.73	A	0.88
570_at	828.98	M	0.05	753.59	M	0.04
571_at	3086.76	P	0	2771.76	P	0
572_at	60.97	A	0.38	51.99	A	0.27
573_at	186.83	A	0.81	114.52	A	0.88
574_s_at	503.41	P	0	394.35	P	0
575_s_at	513.07	P	0	296.51	P	0
576_at	178.06	A	0.23	180.92	A	0.23
577_at	2713.01	P	0	1050.15	M	0.04
578_at	131.37	A	0.36	69.05	A	0.44
579_at	63.32	A	0.25	20.73	A	0.58
580_at	71.13	A	0.38	40.13	A	0.28
581_at	998.18	P	0	865.45	P	0
582_g_at	70.09	A	0.22	84.95	A	0.13
583_s_at	111.18	A	0.25	195.46	A	0.18
584_s_at	694.58	P	0	485.71	P	0
585_at	897.04	P	0	1416.93	P	0
586_s_at	226.01	A	0.32	166.33	A	0.2
587_at	225.02	P	0	199.77	P	0.04
588_at	2082.4	P	0	797.15	P	0.03
589_at	156.38	A	0.42	252.27	A	0.23
590_at	2043.72	P	0	1133.16	P	0
591_s_at	886.87	M	0.04	103.42	A	0.36
592_at	1255.51	P	0.01	763.69	P	0.01
593_s_at	119.55	A	0.2	83.56	A	0.28
594_s_at	691.23	P	0.01	579.85	P	0.04
595_at	1359.28	P	0	4321.11	P	0
596_s_at	820.3	P	0.01	1036.61	P	0.01
597_at	112.06	A	0.27	9.13	A	0.96
598_at	530.77	A	0.23	921.99	A	0.2
599_at	331.49	A	0.34	449.67	A	0.07
600_at	232.44	P	0.01	40.49	A	0.5
601_s_at	67.52	A	0.4	59.52	A	0.6
602_s_at	204.65	A	0.4	100.87	A	0.54
603_at	225.51	P	0.01	160.15	M	0.05
604_at	77.78	A	0.25	114.48	A	0.16
605_at	2638.63	P	0	2265.87	P	0
606_at	5.83	A	0.95	42.51	A	0.58
607_s_at	1805.66	P	0	3710.19	P	0
608_at	11596.78	P	0	2655.37	P	0
609_f_at	5272.76	P	0	5369.51	P	0
610_at	295.48	P	0.02	485.56	P	0.01
611_at	45.18	A	0.66	88.23	A	0.5
612_s_at	507.72	P	0.02	296.71	A	0.19
613_at	522.93	M	0.05	62.59	A	0.92
614_at	293.69	A	0.48	1260.96	P	0.02
615_s_at	114.66	A	0.34	49	A	0.77
616_s_at	112.09	A	0.56	144.87	A	0.27
617_at	109.72	A	0.25	12.99	A	0.85
618_at	4.3	A	0.97	20.76	A	0.81
619_s_at	83.62	A	0.72	218.25	A	0.38
620_at	59.96	A	0.86	40.9	A	0.84
621_at	142.07	A	0.4	21.69	A	0.42
622_at	210.56	A	0.06	171.45	A	0.19
623_s_at	550.83	P	0	420.81	P	0
624_at	133.81	A	0.5	62.47	A	0.64
625_at	1250.88	P	0	781.29	P	0.01
626_s_at	1015.17	P	0.01	578.97	A	0.1
627_g_at	54.73	A	0.54	183.84	A	0.27
628_at	465.72	A	0.18	193.89	A	0.23
629_at	63.18	A	0.5	84.5	A	0.42
630_at	570.44	P	0	736.35	P	0
631_g_at	606.54	P	0	723.31	P	0
632_at	1441.22	P	0.01	839.32	P	0.01
633_s_at	615.17	M	0.04	565.37	A	0.09
634_at	997.41	P	0	788.08	P	0
635_s_at	292.11	A	0.18	383.46	A	0.25
636_at	43.91	A	0.77	40.94	A	0.87
637_at	167.76	A	0.06	132.04	A	0.09
638_at	17.74	A	0.73	7.02	A	0.85
639_s_at	52.96	A	0.85	70.34	A	0.66
640_at	195	A	0.75	77.8	A	0.77
641_at	1002.77	P	0	1353.58	P	0
642_s_at	279.68	A	0.14	211.27	A	0.4
643_at	118.57	A	0.64	219.59	A	0.62
644_at	153.83	A	0.42	33.92	A	0.64
645_at	92.83	A	0.44	11.35	A	0.85
646_s_at	800.79	P	0.04	661.28	P	0.01
647_at	328.93	P	0.01	306.21	P	0.02
648_at	331.31	A	0.15	467.26	A	0.25
649_s_at	1647.3	P	0	4395.75	P	0
650_s_at	103.87	A	0.62	67.99	A	0.44
651_at	235.9	A	0.25	231.88	A	0.1
652_g_at	223.53	P	0	363.95	P	0
653_at	22.15	A	0.8	13.65	A	0.81
654_at	316.97	P	0.01	957.47	P	0
655_at	67.25	A	0.19	21.29	A	0.58
656_at	1030.19	P	0.03	626.81	P	0.02
657_at	2462.02	P	0	2483.67	P	0
658_at	169.92	P	0.01	194.79	P	0
659_g_at	674.73	P	0.01	583.29	P	0
660_at	38.99	A	0.23	6.73	A	0.93
661_at	491.12	P	0.01	718.71	P	0
662_at	109.29	A	0.36	311.41	A	0.07
663_at	869.59	P	0	1076.37	P	0
664_at	99.67	A	0.09	3.66	A	0.95
665_at	89.18	A	0.14	82.12	A	0.38
666_at	802.92	P	0.04	437.35	A	0.12
667_at	145.28	A	0.73	20.27	A	0.75
668_s_at	182.76	A	0.07	115.04	A	0.32
669_s_at	1314.47	P	0.02	816.91	A	0.07
670_s_at	302.61	A	0.13	137.91	A	0.34
671_at	9262.77	P	0	4785.37	P	0
672_at	3390.23	P	0	983.46	A	0.14
673_at	228.02	A	0.32	217.43	A	0.34
674_g_at	177.05	A	0.11	149.02	A	0.07
675_at	3783.31	P	0	3820.94	P	0
676_g_at	41159.41	P	0	28975.46	P	0
677_s_at	3072.84	P	0	2011.6	P	0
678_at	267.1	A	0.06	404.76	P	0.01
679_at	367.28	A	0.13	346.23	A	0.18
680_s_at	52.37	A	0.6	42.73	A	0.64
681_at	17.16	A	0.7	9.24	A	0.93
682_at	8.17	A	0.88	54.97	A	0.48
683_at	187.66	A	0.27	60.98	A	0.54
684_at	280.27	A	0.58	48.33	A	0.9
685_f_at	753.9	A	0.2	621.99	A	0.22
686_s_at	283.06	P	0.04	326.8	A	0.19
687_at	13.83	A	0.97	19.22	A	0.82
688_at	2270.97	P	0	1923.06	P	0
689_at	1026.11	P	0.02	889.22	A	0.07
690_s_at	144.66	M	0.05	108.39	A	0.25
691_g_at	6206.02	P	0	7442.07	P	0
692_s_at	1768.34	P	0.01	2588.84	P	0
693_g_at	68.9	A	0.48	18.51	A	0.9
694_at	383.74	A	0.12	170.54	A	0.34
695_at	22.95	A	0.75	61.69	A	0.77
696_at	23.89	A	0.91	53.01	A	0.72
697_f_at	401.71	A	0.58	764.1	A	0.6
698_f_at	48.73	A	0.44	212.73	P	0.01
699_s_at	163.09	A	0.15	121.01	A	0.32
700_s_at	5287.41	P	0	4404.04	P	0
701_s_at	221.29	A	0.56	379.4	A	0.32
702_f_at	173.19	A	0.44	266.18	A	0.3
703_at	240.5	A	0.06	349.31	M	0.05
704_at	158.4	A	0.12	92.1	A	0.36
705_at	210.14	A	0.32	147.04	A	0.36
706_at	150.08	P	0.03	145.67	A	0.19
707_s_at	68.35	A	0.73	47.76	A	0.72
708_at	25.63	A	0.9	70.95	A	0.75
709_at	1331.28	P	0.02	1654.32	P	0.02
710_at	67.78	A	0.64	45.86	A	0.66
711_at	167.46	A	0.46	144.78	A	0.75
712_s_at	45.74	A	0.64	38.07	A	0.46
713_at	255.84	A	0.28	415.38	A	0.23
714_at	33.43	A	0.56	157.12	A	0.19
715_s_at	1790.25	P	0	1303.82	P	0
716_at	700.44	A	0.12	521.78	A	0.18
717_at	866.65	P	0	717.42	P	0
718_at	936.66	P	0	1306.81	P	0
719_g_at	1039.84	P	0	1692.4	P	0
720_at	535.04	A	0.09	482.34	A	0.07
721_g_at	713.43	P	0.03	893.9	P	0.01
722_at	147.38	A	0.34	157.97	A	0.13
723_s_at	1429.97	P	0	1865.31	P	0
724_at	167.09	A	0.16	54.56	A	0.34
725_i_at	57.08	A	0.3	63.38	A	0.19
726_f_at	773.53	A	0.18	793.38	A	0.2
727_at	623.18	A	0.25	547.41	A	0.16
728_at	19.62	A	0.81	73.42	A	0.38
729_i_at	1242.79	A	0.13	1213.04	A	0.13
730_r_at	979.44	A	0.25	1281.42	A	0.22
731_f_at	613.56	A	0.28	870.69	A	0.11
732_f_at	325.11	A	0.1	489	P	0.04
733_at	61.92	A	0.32	76.8	A	0.36
734_at	719.76	A	0.56	897.11	A	0.52
735_s_at	933.92	P	0	1115.73	P	0
736_f_at	523.51	P	0.02	532.51	A	0.09
737_at	57.03	A	0.75	16.86	A	0.97
738_at	326.92	P	0	231.51	P	0
739_at	10.53	A	0.82	26.65	A	0.56
740_at	194.81	A	0.15	110.77	A	0.23
741_g_at	137.85	A	0.64	22.27	A	0.88
742_at	35.23	A	0.89	83.54	A	0.75
